t,x,y,z,value
1,90,73,23,13.203964521381147
9,56,48,53,20.50422011964967
6,13,91,11,14.079654957625706
0,61,66,63,24.571179306939257
8,65,85,11,15.693603019361081
7,86,45,29,22.732871328462195
1,47,99,36,26.84771493485774
6,54,50,62,23.032871087839993
5,78,57,13,19.512883235011152
0,85,62,15,19.809256220436954
9,27,38,98,15.664526542236855
7,73,48,41,19.575807219204627
3,3,75,89,25.001204261635362
0,99,95,76,23.53357259073108
0,43,11,70,14.786921402807558
7,34,15,67,26.989577352588082
1,44,52,0,15.361381554766494
5,51,39,95,14.172564276429517
8,6,1,65,20.204389239889654
9,63,12,15,24.571231013607164
2,33,16,42,21.764267440674516
0,1,19,30,9.049436465739642
4,63,33,4,22.618694990428533
8,53,62,80,15.857549553276234
6,38,91,26,20.149453707754997
0,47,86,27,23.426035984465372
6,58,42,8,27.537556774526614
3,27,35,58,19.119711465096803
2,97,32,80,19.365282461705327
4,61,85,94,20.072416436678253
8,30,6,53,23.820925357438473
9,72,38,27,12.524577558674219
1,83,34,92,16.13747441031836
5,67,70,35,9.512340742050773
7,39,53,13,26.722229961306823
2,90,11,30,20.144078254867203
2,46,29,56,17.980560324158997
2,46,55,7,25.39697149736906
2,3,77,94,17.075268132514992
8,71,3,60,19.680051012811365
2,11,36,26,24.36682728007358
2,17,14,64,17.752508475541724
1,6,94,43,25.19545056631676
1,65,30,63,25.102525460770693
7,5,1,96,18.899442777933473
2,13,4,46,20.022867462829293
8,26,15,63,22.59458930617877
5,79,87,36,17.11217333760655
8,42,75,41,13.340618675722798
5,81,82,15,21.209705344931987
7,17,63,88,16.992148489455424
8,13,93,57,16.740482615231283
0,51,59,17,18.080025402980908
5,92,22,3,15.0464805260183
4,75,9,41,17.51137744036789
2,48,44,65,9.782995771466013
4,36,40,59,24.85433410284477
4,91,80,55,19.497179656232408
4,76,72,40,16.382843322591086
8,86,27,3,16.479426345947644
8,21,60,43,22.599678959427397
6,35,64,16,19.596485607021467
7,27,51,70,20.538112463526097
9,72,34,80,11.75827246298464
6,49,45,22,14.384377720992386
3,88,37,14,22.58668430571387
0,3,2,75,20.46626135783589
5,99,67,7,30.099510334438094
2,44,78,49,17.13471808298521
5,25,93,22,22.912276946683626
0,82,96,29,12.902394263988226
8,78,80,24,11.894032796003804
9,81,89,72,17.071226471766575
1,38,34,96,15.711531603661525
8,98,34,70,15.707782944926114
4,6,6,43,20.937074383454764
0,22,51,31,19.50225784396876
9,28,96,26,19.36423644316008
9,16,85,56,26.107141515378174
0,15,34,76,21.110475427444825
5,99,15,92,12.967247487918268
8,72,71,46,24.25047673779875
7,68,15,63,23.30619425360419
4,54,5,55,16.891798393901382
8,46,20,83,23.728443675760754
8,15,1,64,23.22315541105726
1,49,79,33,17.072008334797747
0,60,64,9,18.318386025907508
1,75,46,55,24.38753004222761
3,16,86,80,12.425553431931768
1,17,44,6,18.463133689207627
0,57,43,94,13.288566652287123
2,20,75,78,12.495612046540078
6,34,63,13,21.54364126924521
5,24,54,64,33.53834943392663
2,75,70,70,33.2527854337598
9,43,17,97,31.13213393538996
7,49,84,97,19.306684209921023
6,15,58,38,11.596371324096914
9,82,9,65,29.271399873486047
7,88,5,48,15.722062422863154
1,35,53,51,28.499789009680832
0,40,84,94,19.053328490770085
8,40,44,25,19.522803872298855
4,0,77,80,20.973599111968245
0,27,34,99,21.212486493515552
4,70,34,91,21.929848179100507
3,69,37,88,10.082041512437383
4,81,3,12,23.828113807017996
4,92,41,78,19.028783843943696
3,11,91,56,22.242938846200325
4,7,17,9,19.626181352489276
4,43,85,71,17.753938012620683
9,58,86,19,24.109641444861897
6,42,14,57,22.70113413995139
7,53,28,47,22.612279386217484
0,1,1,26,21.31293639690184
3,84,39,17,15.607438036964728
9,87,50,12,20.44557035295337
2,47,58,60,14.293057123851433
5,44,12,44,24.426520127300517
8,63,68,15,11.722875113364127
6,55,57,68,16.59639403076515
8,29,49,66,3.8053270883053933
1,62,66,55,13.532159900588862
5,61,44,23,19.432266790450765
6,92,17,98,17.31362249803594
3,82,36,7,17.135060314513183
5,1,71,81,27.687305181527186
9,11,50,46,19.511585069491385
7,68,53,0,16.019153171964902
3,67,23,81,16.89354926189729
0,50,76,14,22.995830096054902
1,11,2,71,17.621706429492697
2,58,3,4,16.87959562136835
8,78,91,66,23.02064593743256
2,48,55,82,19.721841460830795
8,52,18,21,15.156861728907636
2,75,55,31,23.26640422122764
6,60,40,66,21.322413235204735
5,21,74,18,20.17152669107862
9,39,53,1,24.526448165696056
5,95,27,32,27.119212365430176
9,48,33,94,24.114652902350795
9,79,96,39,22.99315856183525
7,17,42,89,18.69714971674092
6,21,24,50,15.970655021958866
8,81,39,12,28.03515545207822
9,16,82,95,18.2638051076601
2,24,45,91,18.684891999443128
5,31,21,46,23.843917607163714
1,60,76,20,24.434228986332755
1,79,58,51,21.64586949480189
6,68,52,51,23.497687156038893
0,58,52,83,23.358691194246273
7,29,86,13,20.134009062868856
8,28,20,69,21.447073314182703
1,12,67,71,26.060535319970327
6,69,73,74,23.42431172882161
3,15,51,77,23.2693222175055
8,56,71,48,13.108587684417113
9,14,33,70,20.129331392617047
5,76,36,32,22.50131584771534
5,47,7,15,12.319641922504081
7,72,31,97,23.77956153337858
5,34,31,39,19.76166977449321
7,20,54,15,21.501024858550522
1,14,62,76,17.325038570561603
7,71,90,88,10.494160357738071
5,89,49,37,15.683092343043736
7,10,36,97,22.117778967695802
5,25,13,11,13.341236307055606
3,53,27,46,23.082750270349024
0,0,57,53,17.27607389904154
5,56,14,30,16.668039141096667
9,31,29,61,21.056981726054918
0,56,53,20,25.206332580787986
5,25,26,92,20.344697526375413
4,12,26,95,24.309921733055482
0,39,30,16,12.742720634210254
5,2,29,5,28.177520992745023
7,23,68,98,20.9281729502424
7,65,69,75,26.521333716671315
9,33,66,7,24.37484993423599
5,21,6,5,19.30668583735631
5,55,8,56,28.442115719801393
9,21,63,65,16.90500325403466
3,6,20,60,22.982871989024108
7,39,68,0,30.7139358611797
1,6,59,35,12.889194586434758
3,90,99,27,20.264085904166418
6,25,8,71,28.772061516941662
5,65,99,60,30.34740042411551
1,44,76,25,12.530150348006138
6,53,48,56,18.232934881194243
5,52,74,97,20.416391223773935
9,81,6,38,17.52068800660676
6,30,17,9,14.975613541513358
8,43,46,89,24.592832866308566
9,2,98,35,27.422736422172335
0,21,42,59,17.737777812224245
0,88,80,12,23.661833630123397
5,40,56,35,25.01756276657708
4,28,11,44,25.88257544000491
5,83,74,81,18.246209267785638
7,50,89,94,16.537715754083678
3,63,91,71,18.403289245528363
1,9,28,95,28.72627134116203
6,69,80,16,19.513874166656464
3,14,47,24,16.141694879684483
9,6,64,79,14.28243490009116
0,67,13,13,23.141249410051135
7,93,51,17,22.16871115362378
7,23,44,32,15.691477624330924
2,87,49,68,22.89770546900817
0,61,81,22,16.659071064403747
3,0,19,10,17.690737771572888
3,52,56,0,19.021228180774852
9,64,71,97,11.919297327200598
8,53,7,21,16.650131194044306
2,58,64,97,13.259483186008474
4,89,31,29,20.96404795797299
5,69,30,60,26.169832810421916
9,47,54,95,28.090970764495395
1,63,3,20,25.59834608643265
7,91,44,52,26.604886631294328
9,8,34,99,18.947003124470843
9,60,48,77,24.814199670952416
2,7,87,23,26.64178241183513
1,74,99,11,10.06593516224969
5,27,55,13,17.233228320106278
0,47,49,70,20.240011349879968
1,26,14,19,33.96775050955175
0,63,98,2,22.184932054517276
2,83,77,73,8.854239386178715
8,89,5,43,16.18860892888057
6,15,60,89,26.532973159352316
6,58,88,41,23.736629721079595
9,91,39,70,23.238079039868097
4,69,41,93,23.35819326322994
0,0,21,68,25.463322478479597
1,19,85,87,13.986130324999266
2,46,74,68,18.498323796223197
6,7,91,47,13.403868648603595
3,33,14,93,19.447448668094992
3,95,54,56,8.402896049821905
1,65,91,55,23.9615666317937
7,18,10,14,21.590854061305293
0,51,9,97,26.13042653583225
4,31,36,98,34.57210761222378
7,23,45,31,21.495071758065265
5,40,7,27,15.503399593278331
6,38,50,47,21.190621293130647
7,81,81,45,26.08280696062147
2,75,33,0,23.57373652565411
0,29,97,68,21.361757216965106
0,46,21,97,9.182170398705923
5,15,67,20,24.31925189277981
2,99,30,98,16.0707089244223
1,42,38,17,12.248237034183127
7,2,92,82,21.48202509673685
8,82,74,35,25.375595142162915
9,57,94,83,16.52666886058841
4,4,99,54,16.66971935251432
5,78,41,61,14.014960742757141
9,53,47,84,23.158375078554897
5,67,11,5,12.900780514314878
1,70,9,70,14.055973661208478
2,0,73,17,15.602607739807688
9,46,59,40,21.73113671357963
0,84,68,20,26.874007075294898
8,87,85,26,16.53657025290333
6,73,4,44,15.223785477887482
4,38,69,59,18.26123911199313
8,2,29,73,21.516702586513684
8,70,79,2,24.0505596439566
4,47,30,97,21.35146631362581
6,16,47,44,12.910579664999108
7,52,9,8,13.739653645083326
6,13,77,59,15.665097275264785
4,22,82,34,19.613694112177274
9,63,62,24,22.3740096922272
8,58,28,0,26.827437657213665
0,43,17,1,18.52902359039724
5,92,16,91,21.8997835212969
8,53,83,29,25.260959339826805
0,9,97,64,13.660279512054498
3,61,34,2,17.0832511464919
5,91,33,6,22.79962192785957
3,28,67,73,20.0524870682888
6,77,77,84,5.355679713116626
9,48,42,87,12.869157129078507
3,98,80,58,18.710710444730516
7,84,92,59,19.288647363780306
1,73,87,56,15.332453094231596
4,9,37,13,24.98689512768398
0,71,72,30,18.33978837870874
4,57,14,68,27.067269045627196
0,14,38,10,17.526876585543416
8,82,38,35,12.816848669745912
9,59,88,91,17.716025789234795
0,2,18,61,21.865065923609393
8,89,98,16,13.529812794027613
7,71,86,51,34.63863340509715
3,80,22,39,10.587320976764536
7,20,42,28,21.38932608001699
9,41,27,46,29.771453289756785
7,33,50,44,22.08134555785602
6,87,56,88,16.67759479595543
3,0,81,44,9.334263163393736
6,20,3,91,19.3003350557248
7,34,89,62,27.090378913511
7,4,88,97,13.627148441436816
2,83,67,48,23.16732964627435
4,36,87,95,27.357036748731762
3,8,58,68,24.25945529641696
6,25,81,83,24.812197026994014
4,91,64,84,19.952113353419175
4,50,27,88,22.89685489360634
5,43,81,78,15.131852208890379
5,69,71,53,22.030139546899118
1,49,34,7,19.153836133731705
9,59,84,47,12.255115318377658
4,28,84,82,20.776587934529964
1,86,85,47,8.260662289268371
0,93,99,27,18.53609396868048
4,16,41,62,16.277877248226467
7,19,38,25,19.171381223725543
2,63,10,41,15.500510643060505
8,77,79,97,24.50108822452106
1,85,14,95,20.101159324927504
1,52,82,87,20.183229831623517
3,62,81,1,17.790435633962343
7,31,46,66,22.929458738566474
2,8,40,81,25.160998504786853
8,67,79,99,19.920514829830136
0,36,94,45,15.946201106533632
9,79,5,75,17.858246410038284
0,26,82,20,21.753305332348003
8,87,9,98,11.487530703806499
0,97,11,32,19.59172110047141
4,6,3,1,19.632324350595994
3,24,58,8,18.812190334408537
9,1,85,39,26.993539889206563
6,31,9,26,19.118268283902587
9,27,39,29,17.390960934447865
4,5,53,26,18.481790881243572
5,32,73,85,18.730788763919595
5,84,88,47,11.694298580628717
7,26,29,95,30.24728629701695
5,1,99,80,24.212647407634066
9,18,85,33,19.765497895705792
1,67,86,99,16.033196352320072
4,28,30,67,14.21751099855464
2,28,77,8,19.522290560087576
8,73,68,82,15.945698677700367
1,6,57,97,17.53097622206822
7,35,90,31,25.71407531734624
9,97,51,9,18.161858400083723
2,58,41,25,19.746664005718035
2,0,38,70,25.32088222638974
7,55,84,87,17.330135849864597
5,33,59,6,20.332683001319243
5,81,69,67,18.13840473089675
8,73,55,40,28.688074236864864
0,66,10,5,11.625522200662019
2,45,88,42,19.654095831537898
3,82,41,4,19.438396372145718
9,68,6,40,11.748307384669122
0,55,80,16,21.50682037935061
4,40,52,21,27.127874923950987
4,4,95,83,25.445346729000704
0,9,89,49,24.97528674474938
4,36,24,33,20.14455501203776
6,95,58,11,12.4480031046251
4,27,26,54,22.115376922182083
3,17,24,25,13.433561854641088
5,20,0,73,19.489281244189762
9,18,48,49,24.691306954269017
1,64,69,46,16.652301345268217
2,46,92,51,16.52491976232407
9,82,57,80,13.254598807506829
2,43,89,96,15.969748181230077
6,77,73,67,13.919749860513269
3,32,56,15,22.407575362878113
8,30,2,42,24.07029929396417
5,19,12,64,5.309865171337833
8,45,66,23,21.644865186698265
6,59,17,23,11.83741334770573
5,29,69,31,25.947211917564488
4,39,5,76,20.692513625984322
0,36,91,35,22.94170965754308
1,94,74,59,22.24709598112463
7,44,4,47,21.358428685462894
6,35,33,52,19.96936026423991
5,98,62,24,24.504357885611142
1,13,13,61,22.983489829796873
8,8,94,10,22.90486665219151
7,50,41,53,28.633125007164487
5,40,62,77,13.618813409562424
2,17,49,34,21.309480876736924
8,91,23,23,16.26887236322765
5,4,29,10,15.587630442124397
9,57,40,85,20.161605814062344
2,22,36,16,25.556707991435726
3,35,74,25,14.127807145546898
8,91,86,35,18.46603568187412
1,75,87,41,14.291513381598003
3,3,15,4,12.076981735947072
3,98,51,30,20.672869531526263
7,58,93,87,22.218434621108024
7,75,61,69,29.492368032835763
7,59,57,44,15.267898564144769
4,91,96,78,16.786731564323816
6,84,21,33,15.806073257957692
5,56,65,17,25.717529823486863
7,10,76,65,14.517241580745397
1,30,45,57,16.286289528189002
3,34,3,15,18.718479141120092
7,13,10,69,21.397907932642827
2,12,48,63,22.358595724418834
2,94,75,21,18.907698549390275
9,8,65,75,17.205877929009613
1,19,90,57,23.871674103986926
9,96,60,18,21.97536439039186
8,79,40,69,16.054589649100876
1,18,99,61,28.427948456981856
5,59,32,97,27.665212452269373
3,78,75,0,19.61128948902371
4,40,12,91,15.377227251798296
6,29,45,45,27.11533812557807
8,30,43,67,27.06561656302277
9,24,28,25,20.713088244339765
0,1,97,65,16.825157313387734
1,52,89,2,27.22536864870255
6,90,59,11,15.465581857095787
2,20,56,14,26.586817770241282
3,56,44,25,17.829843804679268
5,77,70,55,18.50925439043843
1,76,0,97,21.086978393100402
9,44,98,52,22.096760898081456
6,65,50,69,6.978909447797157
2,74,81,40,21.63711425800376
3,89,29,94,18.52669168952348
6,54,25,64,15.094100018289733
3,10,21,61,17.9635693882293
6,28,65,22,10.697160136679075
9,69,34,92,18.89064823229129
3,0,18,96,15.413415274908864
1,70,79,20,25.437358408497936
2,85,83,22,18.382066246723447
5,47,59,98,25.250289214294448
5,10,81,65,17.87547331414818
0,19,31,83,14.527051883703226
6,50,6,29,31.809370320743906
1,44,83,64,16.447899953047187
6,20,10,89,11.449853226267408
8,1,55,46,11.753108759583814
1,98,17,5,18.51906336004685
7,71,65,74,24.001657500212318
0,20,70,38,12.048216146240947
5,98,38,32,27.482550394594522
6,51,59,35,28.072667120845516
2,84,82,6,39.727748432632886
7,30,35,34,28.520698398507484
5,49,51,58,24.217227565208194
4,13,63,1,22.085434582278936
0,71,40,73,30.186803896847124
1,86,62,57,18.113757499069983
7,32,33,47,20.83059085951888
4,39,24,85,24.329043173197597
7,34,67,99,8.862194069531819
9,57,42,64,15.914206995938883
6,38,91,39,19.68213807138777
7,42,6,50,16.99247062373581
6,77,96,76,23.456995228499892
3,86,60,36,28.563309074551732
0,35,29,0,23.670550707004317
6,92,1,78,19.923002986852396
2,60,60,68,22.956724701692956
1,71,19,25,15.357187436054698
5,79,21,41,21.81990760093856
6,0,82,29,10.637018662078367
3,93,88,52,25.080386428408943
6,97,35,64,15.117490287916613
9,69,93,66,22.778725952954815
7,47,14,13,20.22623121618792
9,53,61,58,26.814765481511742
0,55,2,58,13.909679170188992
1,81,83,21,18.735245756562385
3,9,14,92,24.156100262700676
5,38,7,31,23.693856677917267
6,55,32,51,15.036079351966606
6,46,68,88,23.289320695070714
9,27,62,56,26.63916955140438
1,85,76,26,16.61013817756791
1,65,22,81,25.036373728680665
3,5,90,99,13.258664095870305
1,33,25,48,17.51339801158513
7,83,84,93,30.85602991746618
4,19,73,14,20.08962933849782
9,78,62,31,14.232045711344206
2,18,27,8,24.36666749769053
3,97,15,36,22.433943561937756
2,12,12,88,25.23732144248523
2,28,83,79,17.943670788639785
8,2,22,45,19.903325652562266
8,59,23,8,15.154856940928713
2,25,24,98,21.737622896242637
5,89,65,57,19.74851448698308
8,55,76,74,22.92935256754795
4,2,5,22,14.561149551386707
9,83,24,66,24.395672661228843
2,82,28,45,21.484667421730165
2,76,73,30,18.120588375363248
0,81,50,53,23.261932162685543
6,11,78,20,18.801588213009587
0,65,81,74,23.909142023171356
1,60,18,74,16.885528968880553
5,57,1,78,18.298609594754634
4,5,0,48,17.938400129057474
1,95,14,87,16.28252155914997
5,6,42,31,22.09999311209036
9,39,77,24,23.601939080283692
9,69,36,18,15.624243823143342
1,39,11,53,32.25052578105711
7,38,65,25,19.550368941678723
4,36,15,74,11.077074933108603
4,34,22,54,13.50632444240441
3,50,78,21,14.075879704931513
8,20,4,71,20.901170810221757
2,70,21,91,16.244765618550616
5,91,62,24,17.758781022594942
7,43,56,29,23.06212380562167
4,94,16,42,22.874453492081997
6,43,33,11,16.449435867793802
1,97,38,39,15.589423992454035
7,18,8,79,25.743532355463017
3,26,24,62,18.414504625600355
0,54,87,25,10.656241181714435
2,43,0,59,27.1425557572899
3,21,30,25,19.16223992676996
6,62,63,56,20.285622634011908
5,62,42,85,15.67248078295777
8,19,42,34,17.739552307229292
4,97,77,78,20.866562602469685
8,28,50,65,18.97887736555599
0,44,82,8,26.210865359268
3,69,43,28,25.31303004445808
1,15,13,20,11.207223543459673
3,94,83,25,15.278288014862126
9,99,30,39,19.198926521908326
1,90,8,43,18.113659784984257
1,39,80,42,25.323263124434824
4,71,89,97,29.071668758534074
8,49,64,83,14.549347761737152
0,6,76,45,19.537987659325726
8,87,20,87,13.299816189344192
7,3,67,58,18.816031322728563
3,70,88,99,24.622139966131105
0,54,20,1,29.009798974374426
4,46,53,17,23.584490438451514
7,16,96,96,20.586783821629655
8,86,64,4,18.041595510019455
1,57,11,55,20.018982083714626
6,24,57,54,20.082978637005027
5,19,25,37,22.983051776851152
8,18,15,17,26.460535378191576
7,13,91,41,16.863775461276195
7,65,9,50,10.473575311803545
8,57,42,2,22.526740729300794
6,38,43,32,24.283143140584244
3,47,42,35,15.608811811265788
9,53,26,78,18.69775262372632
5,20,37,66,24.87478793652288
8,75,90,7,17.758615943280716
1,86,51,79,22.051127347292127
1,47,83,38,25.32701505111885
5,74,38,51,24.72973819978583
7,93,97,59,17.41649041439953
9,75,35,99,30.17451605131945
0,14,24,68,19.714454246993963
8,9,4,12,22.507539964911686
4,83,38,40,17.71877089381202
9,56,34,37,27.212235615729945
3,78,72,92,29.778295685810644
9,74,53,1,21.744341729657172
2,11,35,85,30.35477166826522
3,38,13,7,18.46574455572338
9,55,60,96,19.012339591575802
9,67,80,62,12.849804822495228
0,78,91,20,27.674105989333274
1,89,74,68,16.65923908455661
0,41,91,3,30.43328821943625
9,53,64,13,18.444096664278252
3,48,26,48,27.697221231225825
5,13,73,71,25.29187721631993
9,74,6,34,14.906395033011137
8,22,5,14,18.146619816787048
2,86,68,70,23.46311774594486
3,78,92,5,25.211799632606887
8,39,70,33,25.169112734867902
4,77,77,43,18.84929006725587
1,83,19,15,14.351877771600915
9,11,7,56,20.956935685153084
5,81,42,74,15.739404934590091
7,58,45,88,10.200844065426672
9,11,45,59,15.662373197304833
6,63,56,77,22.18888201812589
7,66,64,53,18.38045939399283
8,43,8,99,15.57149461024677
9,82,88,59,19.009575453397375
5,29,98,93,19.862570070120185
5,83,87,13,26.488533921459396
6,14,53,73,17.378888718398052
9,41,11,98,25.49423069456092
4,88,67,18,23.379506587278204
8,21,73,53,17.274890806122745
2,89,99,73,15.393582491009301
7,17,51,65,19.72274300203251
1,3,3,3,19.39565036522931
8,85,72,24,18.966331169308074
3,93,13,88,12.688571983428462
6,33,10,48,16.051967858703964
1,97,6,92,15.41641279372486
3,80,24,71,19.85771757345366
0,48,60,70,18.62647311177998
5,60,31,77,18.031036581246795
9,39,5,63,22.48085075270292
2,21,29,45,21.131684225278107
2,91,89,29,13.069586125968371
7,41,66,54,20.454800658511342
1,25,54,7,21.993523566680295
1,80,61,71,25.400897200786638
2,76,2,70,18.54675120103918
5,87,44,35,20.76379193833718
5,60,24,37,24.456087255646743
5,35,21,57,15.27173783811833
0,51,90,68,15.751191635958158
6,78,95,99,14.489761267569767
3,68,80,20,22.197689141954527
7,5,36,42,24.59479294610779
8,85,45,77,22.95870243816266
1,52,85,34,20.14322181097679
2,92,90,71,12.407023825071423
6,13,15,90,25.67737581758158
1,81,37,6,25.841764122429794
4,96,57,28,18.989918301171123
3,76,16,49,16.77314192804879
6,69,22,64,19.010581773748136
7,65,74,37,16.406399402497374
6,35,77,49,20.54002350395697
3,67,64,65,20.06212670615003
5,96,69,58,21.127170346818385
8,66,62,48,21.05114609925332
7,10,1,32,15.472372780700464
7,39,61,53,14.32192348169076
5,44,97,64,19.10776190359581
5,83,32,3,20.992572274536144
